Timestamp,Spuntando la casella qui sotto:,Età,Genere,Preferenza visiva,"A feature satisfaction",A ease of use,"B feature satisfaction",B ease of use,Preferisco la variante 
25/01/2026 15:52:23,Acconsento volontariamente a partecipare allo studio e al trattamento dei miei dati per le finalità descritte.,18 - 25,Donna,Nessuna preferenza,7,7,6,7,Variante Griglia
25/01/2026 17:25:16,Acconsento volontariamente a partecipare allo studio e al trattamento dei miei dati per le finalità descritte.,25 - 35,Donna,Nessuna preferenza,5,6,6,6,Variante Lista
25/01/2026 17:56:21,Acconsento volontariamente a partecipare allo studio e al trattamento dei miei dati per le finalità descritte.,50-65,Donna,Preferisco interfacce con molte immagini rispetto al testo,6,5,7,5,Variante Lista
25/01/2026 18:26:19,Acconsento volontariamente a partecipare allo studio e al trattamento dei miei dati per le finalità descritte.,50-65,Donna,Preferisco interfacce con molte immagini rispetto al testo,6,7,7,7,Variante Lista
25/01/2026 19:04:09,Acconsento volontariamente a partecipare allo studio e al trattamento dei miei dati per le finalità descritte.,18 - 25,Donna,Preferisco interfacce con molte immagini rispetto al testo,6,6,2,1,Variante Griglia
25/01/2026 22:11:19,Acconsento volontariamente a partecipare allo studio e al trattamento dei miei dati per le finalità descritte.,50-65,Uomo,Preferisco interfacce con molte immagini rispetto al testo,6,4,2,2,Variante Griglia
26/01/2026 15:12:11,Acconsento volontariamente a partecipare allo studio e al trattamento dei miei dati per le finalità descritte.,50-65,Donna,Preferisco interfacce con più testo rispetto alle immagini,4,3,6,6,Variante Lista
26/01/2026 15:39:44,Acconsento volontariamente a partecipare allo studio e al trattamento dei miei dati per le finalità descritte.,18 - 25,Donna,Preferisco interfacce con molte immagini rispetto al testo,7,7,7,7,Variante Griglia
26/01/2026 16:22:46,Acconsento volontariamente a partecipare allo studio e al trattamento dei miei dati per le finalità descritte.,18 - 25,Donna,Preferisco interfacce con più testo rispetto alle immagini,7,7,7,7,Variante Griglia
26/01/2026 18:57:14,Acconsento volontariamente a partecipare allo studio e al trattamento dei miei dati per le finalità descritte.,25 - 35,Donna,Preferisco interfacce con più testo rispetto alle immagini,7,7,7,7,Variante Griglia
26/01/2026 20:11:52,Acconsento volontariamente a partecipare allo studio e al trattamento dei miei dati per le finalità descritte.,18 - 25,Donna,Preferisco interfacce con molte immagini rispetto al testo,7,7,5,7,Variante Griglia
26/01/2026 21:21:32,Acconsento volontariamente a partecipare allo studio e al trattamento dei miei dati per le finalità descritte.,18 - 25,Uomo,Preferisco interfacce con molte immagini rispetto al testo,5,6,6,6,Variante Lista
27/01/2026 03:24:01,Acconsento volontariamente a partecipare allo studio e al trattamento dei miei dati per le finalità descritte.,50-65,Donna,Preferisco interfacce con molte immagini rispetto al testo,5,7,5,7,Variante Lista
27/01/2026 10:52:22,Acconsento volontariamente a partecipare allo studio e al trattamento dei miei dati per le finalità descritte.,25 - 35,Donna,Preferisco interfacce con molte immagini rispetto al testo,5,6,5,6,Variante Griglia
27/01/2026 11:24:05,Acconsento volontariamente a partecipare allo studio e al trattamento dei miei dati per le finalità descritte.,25 - 35,Donna,Preferisco interfacce con molte immagini rispetto al testo,6,7,4,6,Variante Griglia
27/01/2026 13:10:13,Acconsento volontariamente a partecipare allo studio e al trattamento dei miei dati per le finalità descritte.,50-65,Uomo,Nessuna preferenza,2,2,4,4,Variante Lista
27/01/2026 13:37:57,Acconsento volontariamente a partecipare allo studio e al trattamento dei miei dati per le finalità descritte.,25 - 35,Donna,Preferisco interfacce con molte immagini rispetto al testo,7,5,6,5,Variante Griglia
27/01/2026 16:26:56,Acconsento volontariamente a partecipare allo studio e al trattamento dei miei dati per le finalità descritte.,50-65,Donna,Nessuna preferenza,5,4,6,6,Variante Lista
27/01/2026 17:32:56,Acconsento volontariamente a partecipare allo studio e al trattamento dei miei dati per le finalità descritte.,18 - 25,Uomo,Preferisco interfacce con molte immagini rispetto al testo,6,7,6,6,Variante Griglia
27/01/2026 17:50:51,Acconsento volontariamente a partecipare allo studio e al trattamento dei miei dati per le finalità descritte.,18 - 25,Uomo,Nessuna preferenza,6,7,7,7,Variante Lista
27/01/2026 18:11:57,Acconsento volontariamente a partecipare allo studio e al trattamento dei miei dati per le finalità descritte.,25 - 35,Uomo,Preferisco interfacce con più testo rispetto alle immagini,4,6,6,7,Variante Lista
27/01/2026 20:17:41,Acconsento volontariamente a partecipare allo studio e al trattamento dei miei dati per le finalità descritte.,50-65,Uomo,Preferisco interfacce con molte immagini rispetto al testo,2,2,1,3,Variante Griglia
27/01/2026 20:27:53,Acconsento volontariamente a partecipare allo studio e al trattamento dei miei dati per le finalità descritte.,25 - 35,Uomo,Preferisco interfacce con molte immagini rispetto al testo,7,7,5,7,Variante Griglia
