partecipante,prototipo,task,tempo,successo,errori,azioni,tipologia azioni,outcome
partecipante_1,B,task_1,1,SI,0,5,"click, scroll down, scroll down, scroll down, click",Spaghetti Pomodorini e Basilico
partecipante_1,B,task_2,1,SI,0,5,"click, click, scroll down, scroll down, scroll down",Bistecca di Manzo
partecipante_1,B,task_3,2,SI,0,9,"click, click, scroll up, scroll up, scroll up, scroll up, click filtro, click, click",Zuppa di Formaggio in tazza
partecipante_1,A,task_1,1,SI,0,4,"click, scroll down, scroll down, click",Spaghetti Pomodorini e Basilico
partecipante_1,A,task_2,1,SI,0,6,"back, scroll up,  scroll up, click filtro, click, click",Pita
partecipante_1,A,task_3,2,SI,0,9,"back, click filtro, click, scroll down, scroll up, click filtro, click, scroll down, click",Madeline
partecipante_10,B,task_1,1,SI,0,3,"click, scroll down, click",Mozzarella e pomodori
partecipante_10,B,task_2,1,SI,0,3,"back, scroll down, scroll down, scroll down, scroll down, click", Bistecca di Manzo
partecipante_10,B,task_3,2,SI,0,3,"back, scroll down, scroll down, click",Stufato di Uova di Quaglia
partecipante_10,A,task_1,1,SI,0,3,"click, scroll down, scroll down,  scroll down, scroll downm click",Ramen
partecipante_10,A,task_2,1,SI,1,3,"back, scroll up, scroll up, click",Foglia di vite
partecipante_10,A,task_3,1,SI,0,3,"back, scroll down, scroll down, scroll down, click",Crepes
partecipante_11,B,task_1,1,SI,0,4,"click, scroll down, scroll up, click filtro, click, click",Spaghetti Pomodorini e Basilico
partecipante_11,B,task_2,1,SI,0,3,"back, click filtro, click, scroll down, scroll down, scroll down, click",Bistecca di Manzo
partecipante_11,B,task_3,1,SI,0,5,"back, scroll up, scroll up, click filtro, click, scroll down, click, back",Foglie di Vite
partecipante_11,A,task_1,1,SI,0,3,"click, click filtro, click, click",Spaghetti Funghi e Speck
partecipante_11,A,task_2,1,SI,0,4,"back, click filtro, click, scroll down, scroll down, click",Zuppa Piccante con Pollo
partecipante_11,A,task_3,1,SI,0,3,"back, click filtro, click, scroll down, scroll down, click",Madelene
partecipante_12,B,task_1,1,SI,0,3,"click, click filtro, click, click",Spaghetti Funghi e Speck
partecipante_12,B,task_2,1,SI,0,4,"back, click filtro, click, scroll down, scroll down, scroll down, click, back, click",Stufato di Uova di Quaglia
partecipante_12,B,task_3,1,SI,0,4,"back, click filtro, scroll down, scroll down, click, back, click",Purè
partecipante_12,A,task_1,1,SI,0,4,"click, click filtro, click, scroll down, click",Rad Na
partecipante_12,A,task_2,1,SI,0,3,"back, click filtro, click, click",Bistecca di Manzo
partecipante_12,A,task_3,1,SI,0,4,"back, click filtro, click, back, click",Ramen
partecipante_13,B,task_1,1,SI,0,3,"click, scroll down, scroll down, scroll down, click",Spaghetti Funghi e Speck
partecipante_13,B,task_2,1,NO,0,2,"back, scroll down, scroll down, click",Tom Yum
partecipante_13,B,task_3,1,SI,0,4,"back, scroll up, scroll up, click",Tortellini classici e rossi
partecipante_13,A,task_1,1,SI,0,3,"click, scroll down, click",Spaghetti Pomodorini e Basilico
partecipante_13,A,task_2,1,SI,0,3,"back, scroll down, click",Ramen
partecipante_13,A,task_3,1,SI,0,6,"back, scroll down, click, back, scroll down, click, back",Pollo peperoni e riso
partecipante_14,B,task_1,1,SI,0,3,"click, click filtro, click,click",Spaghetti Pomodorini e Basilico
partecipante_14,B,task_2,1,SI,0,4,"back, click filtro,click,  scroll down, click",Bistecca di Manzo
partecipante_14,B,task_3,1,SI,0,6,"back, scroll down, click filtro, click, scroll down, click, back, click",Tiramisù
partecipante_14,A,task_1,1,SI,0,3,"click, click filtro, click, click",Spaghetti Funghi e Speck
partecipante_14,A,task_2,1,SI,0,3,"back, click filtro, click, click",Pita
partecipante_14,A,task_3,1,SI,0,4,"back, click filtro, click, scroll down, click, back, click",Spaghetti Pomodorini e Basilico
partecipante_15,B,task_1,1,SI,0,3,"click, scroll down",Spaghetti Funghi e Speck
partecipante_15,B,task_2,1,SI,0,3,"click, scroll down",Stufato di Uova di Quaglia
partecipante_15,B,task_3,4,SI,1,7,"scroll down, click",Tortellini classici e rossi
partecipante_15,A,task_1,1,SI,0,3,"click, scroll down, click",Noodles con Maiale e Verdure con Mailale e verdure
partecipante_15,A,task_2,1,SI,0,2,"back, click filtro, click, click",Bistecca di Manzo
partecipante_15,A,task_3,1,SI,0,5,"click, click filtro, click, scroll down, click",Tiramisù
partecipante_16,B,task_1,1,SI,0,4,"click, click filtro, click, scroll down, click",Spaghetti Funghi e Speck
partecipante_16,B,task_2,1,SI,0,5,"back, scroll down, click, back, click",Bistecca di Manzo
partecipante_16,B,task_3,1,SI,1,7,"back, scroll down, click",Tortellini classici e rossi
partecipante_16,A,task_1,1,SI,0,3,"click, click filtro, click, scroll down, click",Spaghetti Funghi e Speck
partecipante_16,A,task_2,1,SI,0,4,"back, click filtro, click, scroll down, click",Pita
partecipante_16,A,task_3,1,SI,0,2,"back, click, scroll down",Madeline
partecipante_17,B,task_1,1,SI,0,3,"scroll down, click",Rad Na
partecipante_17,B,task_2,1,SI,0,5,"scroll down, click filtro, click, click",Foglie di Vite
partecipante_17,B,task_3,3,SI,0,5,"scroll down, click filtro, click, click",Biscotti Arancia e Cioccolato
partecipante_17,A,task_1,1,SI,0,3,"click, click filtro, click, click",Spaghetti Pomodorini e Basilico
partecipante_17,A,task_2,1,SI,0,3,"back, click filtro, click, scroll down, click",Bistecca di Manzo
partecipante_17,A,task_3,1,SI,0,4,"back, click filtro, click, scroll down, click",Spaghetti Funghi e Speck
partecipante_18,B,task_1,2,SI,0,5,"click, scroll down, scroll down, scroll down, click", Pasta Bolognese
partecipante_18,B,task_2,3,SI,0,3,"back, scroll down, scroll down, scroll up, scroll up, click",Foglie di Vite
partecipante_18,B,task_3,2,SI,1,4,"back, scroll down, scroll down, click, back, scroll down, click",Pad Tai
partecipante_18,A,task_1,1,SI,0,3,"click, scroll down, scroll down, click",Spaghetti Pomodorini e Basilico
partecipante_18,A,task_2,2,SI,0,4,"back, scroll up, scroll up, click filtro, click, click ",Stufato di Uova di Quaglia
partecipante_18,A,task_3,2,SI,0,6,"back, scroll uo, click filtro, click, click",Madeline
partecipante_19,B,task_1,1,SI,0,3,"click, scroll down, scroll down, scroll down, scroll down, click, back, click",Noodles con Maiale e Verdure
partecipante_19,B,task_2,1,SI,0,3,"back, scroll down, click, back, click",Tom Yum
partecipante_19,B,task_3,3,SI,0,5,"back, scroll up, scroll up, scroll up, scroll up,click filtro, click, scroll down, click",Noodles con Maiale e Verdure
partecipante_19,A,task_1,1,SI,0,3,"click, scroll down, scroll up, click filtro, click, click",Rad Na
partecipante_19,A,task_2,2,SI,0,3,"back, click filtro, click, scroll down, click",Foglie di Vite
partecipante_19,A,task_3,1,SI,0,2,"bak, scroll down, scroll up, click filtro, click, click",Spaghetti Funghi e Speck
partecipante_2,B,task_1,1,SI,0,4,"click, scroll down, scroll down, scroll down, scroll down, scroll up, scroll up, click",Spaghetti Pomodorini e Basilico
partecipante_2,B,task_2,1,SI,0,3,"back, scroll down, click",Ramen
partecipante_2,B,task_3,1,SI,0,6,"back, scroll down, scrolldown, scroll down, scroll down, scroll down, click, back, click",Tiramisù
partecipante_2,A,task_1,1,SI,0,3,"click, scroll down, scroll down, click",Zuppa con funghi
partecipante_2,A,task_2,1,SI,1,2,"back, scroll down, scroll down, scroll down, click",Torta di carote
partecipante_2,A,task_3,1,SI,0,4,"back, scroll up, scroll up, back, click, back, scroll up, scroll down, click",Pollo peperoni e riso
