session_id,prototipo,task,task_description,clicks,scrolls,azioni,completed,duration_seconds,selected_recipe,errori
20260208_150100_prototype_A,A,task_1,"Trovate un PRIMO PIATTO (pasta, zuppa, ramen) con tempo <50min",4,1,5,True,73.13,Spaghetti ai Funghi e Speck,0
20260208_150100_prototype_A,A,task_2,"Trovate un SECONDO PIATTO (carne, side-dish) con difficoltà MEDIA",2,2,4,True,14.79,Pollo con Peperoni e Riso,0
20260208_150100_prototype_A,A,task_3,"Esplora il sito, confronta 2 piatti che preferisci, di perchè ti attirano, infine scegline uno",5,1,6,True,34.16,Pollo con Peperoni e Riso,0
20260208_160215_prototype_B,B,task_1,"Trovate un PRIMO PIATTO (pasta, zuppa, ramen) con tempo <50min",2,3,5,True,34.4,Spaghetti ai Funghi e Speck,0
20260208_160215_prototype_B,B,task_2,"Trovate un SECONDO PIATTO (carne, side-dish) con difficoltà MEDIA",5,4,9,True,56.6,Bistecca di Manzo alla Griglia,0
20260208_160215_prototype_B,B,task_3,"Esplora il sito, confronta 2 piatti che preferisci, di perchè ti attirano, infine scegline uno",4,2,6,True,42.7,Maiale Arrosto con Pomodoro,0
20260204_095120_prototype_A,A,task_1,"Trovate un PRIMO PIATTO (pasta, zuppa, ramen) con tempo <50min",4,0,4,True,27.04,Spaghetti Pomodorini e Basilico,0
20260204_095120_prototype_A,A,task_2,"Trovate un SECONDO PIATTO (carne, side-dish) con difficoltà MEDIA",0,0,0,True,20.53,Pita,0
20260204_095120_prototype_A,A,task_3,"Confrontate 2 piatti che preferite e dite perchè vi attirano, infine scegietene uno",0,0,0,True,8.08,Nessuna delle due,0
20260204_115609_prototype_B,B,task_1,"Trovate un PRIMO PIATTO (pasta, zuppa, ramen) con tempo <50min",2,0,2,True,20.91,Spaghetti Pomodorini e Basilico,0
20260204_115609_prototype_B,B,task_2,"Trovate un SECONDO PIATTO (carne, side-dish) con difficoltà MEDIA",2,0,2,True,12.23,Bistecca di Manzo alla Griglia,0
20260204_115609_prototype_B,B,task_3,"Confrontate 2 piatti che preferite e dite perchè vi attirano, infine sceglietene uno",4,1,5,True,52.78,Foglie di Vite Ripiene,0
20260208_103313_prototype_A,A,task_1,"Trovate un PRIMO PIATTO (pasta, zuppa, ramen) con tempo <50min",4,1,5,True,54.51,Noodles con Maiale e Verdure,0
20260208_103313_prototype_A,A,task_2,"Trovate un SECONDO PIATTO (carne, side-dish) con difficoltà MEDIA",9,2,11,True,38.15,Bisteccone di Manzo alla Griglia,0
20260208_103313_prototype_A,A,task_3,"Esplora il sito, confronta 2 piatti che preferisci, di perchè ti attirano, infine scegline uno",0,0,0,True,66.36,Spaghetti ai Funghi e Speck,0
20260208_113045_prototype_B,B,task_1,"Trovate un PRIMO PIATTO (pasta, zuppa, ramen) con tempo <50min",1,2,3,True,47.46,Spaghetti Funghi e Speck,0
20260208_113045_prototype_B,B,task_2,"Trovate un SECONDO PIATTO (carne, side-dish) con difficoltà MEDIA",0,6,6,True,52.73,Bistecca di Manzo alla Griglia,0
20260208_113045_prototype_B,B,task_3,"Esplora il sito, confronta 2 piatti che preferisci, di perchè ti attirano, infine scegline uno",3,5,8,True,54.46,Crepes con Fragole e Panna,0
20260204_173844_prototype_A,A,task_1,"Trovate un PRIMO PIATTO (pasta, zuppa, ramen) con tempo <50min",1,0,1,True,23.67,Spaghetti Pomodorini e Basilico,0
20260204_173844_prototype_A,A,task_2,"Trovate un SECONDO PIATTO (carne, side-dish) con difficoltà MEDIA",5,4,9,True,77.76,Pollo con Peperoni e Riso,0
20260204_173844_prototype_A,A,task_3,"Esplora le ricette, confronta 2 piatti che preferite e di perchè ti attirano, infine scegline uno",7,0,7,True,33.74,Ciabatta con Prosciutto e Ricotta,0
20260204_220055_prototype_B,B,task_1,"Trovate un PRIMO PIATTO (pasta, zuppa, ramen) con tempo <50min",2,0,2,True,36.35,Spaghetti Pomodorini e Basilico,0
20260204_220055_prototype_B,B,task_2,"Trovate un SECONDO PIATTO (carne, side-dish) con difficoltà MEDIA",0,0,0,True,26.55,Bistecca di Manzo alla Griglia,0
