user_type,prototipo,task_key,clicks_mean,scrolls_mean,azioni_mean,time_mean,errors_mean,success_rate,n
ai,A,task_1,2.875,0.65,3.525,59.88175,0.025,0.975,0
ai,A,task_2,4.615384615384615,1.6153846153846154,6.230769230769231,82.10589743589743,0.02564102564102564,0.9487179487179487,0
ai,A,task_3,4.394736842105263,1.605263157894737,6.0,88.25657894736842,0.05263157894736842,0.9210526315789473,0
ai,B,task_1,2.475,1.375,3.85,58.636750000000006,0.05,0.975,0
ai,B,task_2,2.55,2.0,4.55,66.5405,0.025,0.95,0
ai,B,task_3,3.65,3.55,7.2,96.4935,0.05,0.975,0
umano,B,task_1,3.275,2.275,3.6,64.5,0.025,0.975,40
umano,B,task_2,3.475,2.1,3.275,70.5,0.075,0.975,40
umano,B,task_3,3.925,2.275,5.525,121.5,0.075,1.0,40
umano,A,task_1,3.375,1.325,3.05,69.0,0.025,1.0,40
umano,A,task_2,4.1,1.15,3.3,69.0,0.05,1.0,40
umano,A,task_3,4.2,1.6,4.7,73.5,0.0,1.0,40
