session_id,tipo,prototipo,feature_satisfaction,ease_of_use
20260208_150100_prototype_A,umano,A,6,6
20260208_160215_prototype_B,umano,B,3,4
20260204_095120_prototype_A,umano,A,3,5
20260204_115609_prototype_B,umano,B,4,4
20260208_103313_prototype_A,umano,A,2,3
20260208_113045_prototype_B,umano,B,4,4
20260204_173844_prototype_A,umano,A,4,5
20260204_220055_prototype_B,umano,B,4,4
20260207_193846_prototype_A,umano,A,2,5
20260207_202846_prototype_B,umano,B,2,3
20260209_152253_prototype_A,umano,A,6,5
20260209_112300_prototype_B,umano,B,5,4
20260208_150100_prototype_A,umano,A,1,3
20260208_151500_prototype_B,umano,B,4,3
20260205_212953_prototype_A,umano,A,2,6
20260206_094740_prototype_B,umano,B,4,5
20260208_225246_prototype_A,umano,A,6,6
20260204_235530_prototype_A,umano,A,6,6
20260207_233319_prototype_B,umano,B,2,3
20260206_095530_prototype_A,umano,A,2,5
20260206_103108_prototype_B,umano,B,2,3
20260208_114329_prototype_A,umano,A,3,4
20260208_120412_prototype_B,umano,B,4,4
20260206_182011_prototype_A,umano,A,6,6
20260206_182040_prototype_B,umano,B,2,3
20260208_105358_prototype_A,umano,A,6,5
20260208_105358_prototype_B,umano,B,6,5
20260208_150800_prototype_B,umano,B,6,5
20260208_143147_prototype_B,umano,B,5,6
20260208_143147_prototype_A,umano,A,5,6
20260208_160500_prototype_A,umano,A,5,6
20260206_141659_prototype_B,umano,B,4,5
20260208_095504_prototype_B,umano,B,6,6
20260208_225246_prototype_A,umano,A,3,4
20260204_151936_prototype_A,umano,A,2,3
20260204_172731_prototype_B,umano,B,2,3
20260209_093109_prototype_A,umano,A,5,6
20260206_160000_prototype_A,umano,A,4,6
20260206_161800_prototype_B,umano,B,4,4
20260209_160419_prototype_A,umano,A,5,6
20260209_115123_prototype_B,umano,B,2,3
20260207_193846_prototype_A,umano,A,2,3
20260207_193846_prototype_B,umano,B,4,5
20260207_155310_prototype_A,umano,A,2,5
20260207_156110_prototype_B,umano,B,6,6
20260205_130223_prototype_A,umano,A,5,6
20260205_143551_prototype_B,umano,B,5,5
20260207_215245_prototype_B,umano,B,4,5
20260208_150100_prototype_B,umano,B,5,6
20260204_134921_prototype_A,umano,A,2,3
20260204_141444_prototype_B,umano,B,6,6
